Number of words,Average Guess,Win Ratio,Parameters
19641,3.13310212765904,0.7580066385574594,"(0.5, 0, 0.5, 0, 0.5, 0)"
19641,3.1820642568257305,0.688574688289463,"(0.5, 0, 0.5, 0, 0.5, 0)"
2000,2.820023472279537,0.9730107026523964,"(0.5, 0, 0.5, 0, 0.5, 0)"
2000,2.820023472279537,0.9730107026523964,"(0.5, 0, 0.5, 0, 0.5, 0)"
2000,2.820023472279537,0.9730107026523964,"(0.5, 0, 0.5, 0, 0.5, 0)"
